地域,農業,林業,水産業,鉱業,製造業,建設業,電気・ガス・水道・廃棄物処理業,卸売・小売業,金融・保険業,不動産業,運輸・郵便業,情報通信業,宿泊・飲食サービス業,専門・科学技術、業務支援サービス業,公務,教育,保健衛生・社会事業,その他のサービス
北海道,0.0321,0.0013,0.0104,0.0014,0.1041,0.0706,0.0321,0.1289,0.0344,0.1104,0.0761,0.0370,0.0272,0.0733,0.0725,0.0444,0.0990,0.0448
青森県,0.0382,0.0007,0.0061,0.0022,0.1689,0.0661,0.0283,0.1178,0.0354,0.1086,0.0527,0.0257,0.0220,0.0539,0.0991,0.0433,0.0886,0.0426
岩手県,0.0256,0.0038,0.0051,0.0021,0.1421,0.1480,0.0296,0.1051,0.0375,0.1122,0.0537,0.0262,0.0238,0.0537,0.0566,0.0463,0.0860,0.0427
宮城県,0.0082,0.0006,0.0044,0.0012,0.1506,0.1279,0.0258,0.1335,0.0346,0.1096,0.0526,0.0369,0.0231,0.0733,0.0597,0.0427,0.0748,0.0406
秋田県,0.0235,0.0040,0.0005,0.0027,0.1516,0.0646,0.0458,0.1039,0.0391,0.1283,0.0412,0.0260,0.0285,0.0606,0.0650,0.0502,0.1147,0.0499
山形県,0.0332,0.0011,0.0004,0.0013,0.2228,0.0584,0.0250,0.1076,0.0406,0.1206,0.0387,0.0273,0.0247,0.0457,0.0657,0.0495,0.0938,0.0435
福島県,0.0123,0.0008,0.0006,0.0008,0.2261,0.1138,0.0606,0.0755,0.0351,0.0936,0.0460,0.0221,0.0249,0.0623,0.0715,0.0369,0.0800,0.0370
茨城県,0.0199,0.0003,0.0008,0.0006,0.3299,0.0547,0.0272,0.0771,0.0275,0.0899,0.0408,0.0237,0.0198,0.1109,0.0407,0.0324,0.0610,0.0429
栃木県,0.0151,0.0006,0.0002,0.0009,0.4043,0.0429,0.0193,0.0836,0.0301,0.0894,0.0310,0.0205,0.0236,0.0580,0.0354,0.0360,0.0631,0.0459
群馬県,0.0129,0.0004,0.0000,0.0003,0.3910,0.0507,0.0265,0.0873,0.0300,0.0904,0.0285,0.0223,0.0225,0.0520,0.0348,0.0387,0.0694,0.0424
埼玉県,0.0045,0.0001,0.0000,0.0003,0.2222,0.0554,0.0275,0.1077,0.0395,0.1692,0.0450,0.0269,0.0209,0.0629,0.0519,0.0377,0.0816,0.0469
